[2019-08-20 14:13:38.838470][debug]:  Reworked Height Index: 41, Value: 0
[2019-08-20 14:13:38.838538][debug]:  Reworked Height Index: 42, Value: 0
[2019-08-20 14:13:38.838606][debug]:  Reworked Height Index: 43, Value: 0
[2019-08-20 14:13:38.838675][debug]:  Reworked Height Index: 44, Value: 0
[2019-08-20 14:13:38.838743][debug]:  Reworked Height Index: 45, Value: 0
[2019-08-20 14:13:38.838811][debug]:  Reworked Height Index: 46, Value: 0
[2019-08-20 14:13:38.838880][debug]:  Reworked Height Index: 47, Value: 0
[2019-08-20 14:13:38.838948][debug]:  Reworked Height Index: 48, Value: 0
[2019-08-20 14:13:38.839016][debug]:  Reworked Height Index: 49, Value: 0
[2019-08-20 14:13:38.839085][debug]:  Reworked Height Index: 50, Value: 0
[2019-08-20 14:13:38.839153][debug]:  Reworked Height Index: 51, Value: 0
[2019-08-20 14:13:38.839221][debug]:  Reworked Height Index: 52, Value: 0
[2019-08-20 14:13:38.839290][debug]:  Reworked Height Index: 53, Value: 0
[2019-08-20 14:13:38.839358][debug]:  Reworked Height Index: 54, Value: 0
[2019-08-20 14:13:38.839427][debug]:  Reworked Height Index: 55, Value: 0
[2019-08-20 14:13:38.839495][debug]:  Reworked Height Index: 56, Value: 0
[2019-08-20 14:13:38.839566][debug]:  Reworked Height Index: 57, Value: 0
[2019-08-20 14:13:38.839635][debug]:  Reworked Height Index: 58, Value: 0
[2019-08-20 14:13:38.839703][debug]:  Reworked Height Index: 59, Value: 0
[2019-08-20 14:13:38.839772][debug]:  Reworked Height Index: 60, Value: 0
[2019-08-20 14:13:38.839840][debug]:  Reworked Height Index: 61, Value: 0
[2019-08-20 14:13:38.839908][debug]:  Reworked Height Index: 62, Value: 0
[2019-08-20 14:13:38.839977][debug]:  Reworked Height Index: 63, Value: 0
[2019-08-20 14:13:38.840045][debug]:  Reworked Height Index: 64, Value: 0
[2019-08-20 14:13:38.840114][debug]:  Reworked Height Index: 65, Value: 0
[2019-08-20 14:13:38.840182][debug]:  Reworked Height Index: 66, Value: 0
[2019-08-20 14:13:38.840251][debug]:  Reworked Height Index: 67, Value: 0
[2019-08-20 14:13:38.840319][debug]:  Reworked Height Index: 68, Value: 0
[2019-08-20 14:13:38.840388][debug]:  Reworked Height Index: 69, Value: 0
[2019-08-20 14:13:38.840456][debug]:  Reworked Height Index: 70, Value: 0
[2019-08-20 14:13:38.840525][debug]:  Reworked Height Index: 71, Value: 0
[2019-08-20 14:13:38.840593][debug]:  Reworked Height Index: 72, Value: 0
[2019-08-20 14:13:38.840662][debug]:  Reworked Height Index: 73, Value: 0
[2019-08-20 14:13:38.840733][debug]:  Reworked Height Index: 74, Value: 0
[2019-08-20 14:13:38.840803][debug]:  Reworked Height Index: 75, Value: 0
[2019-08-20 14:13:38.840871][debug]:  Reworked Height Index: 76, Value: 0
[2019-08-20 14:13:38.840940][debug]:  Reworked Height Index: 77, Value: 0
[2019-08-20 14:13:38.841009][debug]:  Reworked Height Index: 78, Value: 0
